loan_id,dob,loan_amt_raw,approved_amt,disbursed_amt,app_date,email_raw,credit_raw,region_raw,tenure_months
0177806,1988-07-16,412499.38,320522.43,291434.25,24/08/2022,,688,,120
00273199,1996-07-20,3770607.6,2939247.19,3045511.74,03/12/2022,user81@test.co,815,,60
0532504,1993-04-20,2221933.36,1613604.65,1686021.35,03/12/2022,user82@None,556,South,240
0266952,1998-12-26,463261.94,390951.6,382828.93,13/08/2021,user83@mail.org,910,North,60
238304,1989-10-08,2998150.04,2574019.16,2695266.51,21/12/2021,user84@None,427,South,180
0254262,1992-08-08,1706684.04,1505602.67,1610377.78,10/05/2022,user85@test.co,541,West,360
077532,2014-04-26,4611468.3,4323570.09,4452972.29,17/03/2023,user86@mail.org,746,South,60
00689749,2001-01-06,3392190.79,3037343.0,2986692.62,19/11/2022,user87@None,617,South,180
0545438,1992-01-27,776680.4,575917.06,621812.75,18/01/2022,user88@mail.org,669,East,300
000604940,1981-09-22,4843837.47,4432198.68,4374349.38,20/11/2022,user89@test.co,338,East,120
0997796,1981-12-15,4731757.54,4381557.07,4681187.96,07/08/2023,,359,East,180
000299888,1999-08-28,1905368.43,1347070.05,1339274.14,21/05/2023,user91@None,731,North,60
0599592,1984-06-07,152219.25,127205.61,118386.22,02/06/2022,user92@test.co,816,,60
921666,2004-06-15,3412963.25,3329147.25,3461201.13,30/04/2021,user93@test.co,474,East,240
0586937,1986-02-01,2227161.86,1884772.2,1988525.82,05/08/2023,user94@None,560,North,300
0993898,2006-11-29,997648.38,912953.8,887621.56,23/05/2021,user95@mail.org,930,East,120
000252884,2011-09-01,2824011.14,2513769.67,2696461.49,24/07/2022,user96@test.co,428,West,240
00419734,1986-10-19,842883.86,729664.41,674629.23,13/04/2023,user97@None,631,,300
000499500,1998-12-07,195449.94,192435.73,208265.49,25/02/2021,user98@example.com,295,South,120
0706408,1992-06-20,2806903.04,2143763.91,2172926.57,17/01/2022,user99@None,278,,60
